      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.233       84     +    0    0    0	(N
    0:00.525      189     N    0    0    0
    0:01.181      425     N    0    0    0
    0:01.831      659     N    0    0    0
    0:02.469      889     N    0    0    0
    0:03.092     1113     N    0    0    0
    0:03.711     1336     N    0    0    0
    0:04.314     1553     N    0    0    0
    0:04.925     1773     N    0    0    0
    0:05.553     1999     N    0    0    0
    0:06.211     2236     N    0    0    0
    0:06.878     2476     N    0    0    0
    0:07.514     2705     N    0    0    0
    0:08.150     2934     N    0    0    0
    0:08.789     3164     N    0    0    0
    0:09.414     3389     N    0    0    0
    0:10.050     3618     N    0    0    0
    0:10.678     3844     N    0    0    0
    0:11.278     4060     N    0    0    0
    0:11.922     4292     N    0    0    0
    0:12.578     4528     N    0    0    0
    0:13.242     4767     N    0    0    0
    0:13.914     5009     N    0    0    0
    0:14.572     5246     N    0    0    0
    0:15.219     5479     N    0    0    0
    0:15.836     5701     N    0    0    0
    0:16.464     5927     N    0    0    0
    0:17.069     6145     N    0    0    0
    0:17.708     6375     N    0    0    0
    0:18.389     6620     N    0    0    0
    0:19.067     6864     N    0    0    0
    0:19.736     7105     N    0    0    0
    0:20.389     7340     N    0    0    0
    0:21.028     7570     N    0    0    0
    0:21.672     7802     N    0    0    0
    0:22.331     8039     N    0    0    0
    0:22.947     8261     N    0    0    0
    0:23.589     8492     N    0    0    0
    0:24.239     8726     N    0    0    0
    0:24.906     8966     N    0    0    0
    0:25.564     9203     N    0    0    0
    0:26.194     9430     N    0    0    0
    0:26.850     9666     N    0    0    0
    0:27.514     9905     N    0    0    0
    0:28.158    10137     N    0    0    0
    0:28.814    10373     N    0    0    0
    0:29.442    10599     N    0    0    0
    0:30.119    10843     N    0    0    0
    0:30.831    11099     N    0    0    0
    0:31.533    11352     N    0    0    0
    0:32.206    11594     N    0    0    0
    0:32.858    11829     N    0    0    0
    0:33.517    12066     N    0    0    0
    0:34.172    12302     N    0    0    0
    0:34.800    12528     N    0    0    0
    0:35.436    12757     N    0    0    0
    0:36.125    13005     N    0    0    0
    0:36.794    13246     N    0    0    0
    0:37.464    13487     N    0    0    0
    0:38.108    13719     N    0    0    0
    0:38.756    13952     N    0    0    0
    0:39.406    14186     N    0    0    0
    0:40.033    14412     N    0    0    0
    0:40.661    14638     N    0    0    0
    0:41.244    14848     N    0    0    0
    0:41.875    15075     N    0    0    0
    0:42.544    15316     N    0    0    0
    0:43.200    15552     N    0    0    0
    0:43.833    15780     N    0    0    0
    0:44.494    16018     N    0    0    0
    0:45.128    16246     N    0    0    0
    0:45.756    16472     N    0    0    0
    0:46.361    16690     N    0    0    0
    0:46.972    16910     N    0    0    0
    0:47.625    17145     N    0    0    0
    0:48.278    17380     N    0    0    0
    0:48.936    17617     N    0    0    0
    0:49.575    17847     N    0    0    0
    0:50.208    18075     N    0    0    0
    0:50.839    18302     N    0    0    0
    0:51.450    18522     N    0    0    0
    0:52.078    18748     N    0    0    0
    0:52.703    18973     N    0    0    0
    0:53.189    19148     A    0    0    0
    0:53.900    19404     N    0    0    0
    0:54.553    19639     N    0    0    0
    0:55.203    19873     N    0    0    0
    0:55.853    20107     N    0    0    0
    0:56.483    20334     N    0    0    0
    0:57.106    20558     N    0    0    0
    0:57.722    20780     N    0    0    0
    0:58.322    20996     N    0    0    0
    0:58.919    21211     N    0    0    0
    0:59.533    21432     N    0    0    0
    1:00.183    21666     N    0    0    0
    1:00.864    21911     N    0    0    0
    1:01.550    22158     N    0    0    0
    1:02.189    22388     N    0    0    0
    1:02.825    22617     N    0    0    0
    1:03.439    22838     N    0    0    0
    1:04.067    23064     N    0    0    0
    1:04.697    23291     N    0    0    0
    1:05.283    23502     N    0    0    0
    1:05.917    23730     N    0    0    0
    1:06.550    23958     N    0    0    0
    1:07.136    24169     N    0    0    0
    1:07.825    24417     N    0    0    0
    1:08.447    24641     N    0    0    0
    1:09.086    24871     N    0    0    0
    1:09.711    25096     N    0    0    0
    1:10.314    25313     N    0    0    0
    1:10.822    25496     A    0    0    0
    1:11.489    25736     N    0    0    0
    1:12.133    25968     N    0    0    0
    1:12.797    26207     N    0    0    0
    1:13.453    26443     N    0    0    0
    1:14.086    26671     N    0    0    0
    1:14.697    26891     N    0    0    0
    1:15.322    27116     N    0    0    0
    1:15.939    27338     N    0    0    0
    1:16.536    27553     N    0    0    0
    1:17.117    27762     N    0    0    0
    1:17.736    27985     N    0    0    0
    1:18.383    28218     N    0    0    0
    1:19.031    28451     N    0    0    0
    1:19.661    28678     N    0    0    0
    1:20.283    28902     N    0    0    0
    1:20.919    29131     N    0    0    0
    1:21.547    29357     N    0    0    0
    1:22.150    29574     N    0    0    0
    1:22.733    29784     N    0    0    0
    1:23.331    29999     N    0    0    0
    1:23.953    30223     N    0    0    0
    1:24.603    30457     N    0    0    0
    1:25.253    30691     N    0    0    0
    1:25.894    30922     N    0    0    0
    1:26.539    31154     N    0    0    0
    1:27.175    31383     N    0    0    0
    1:27.808    31611     N    0    0    0
    1:28.428    31834     N    0    0    0
    1:29.047    32057     N    0    0    0
    1:29.722    32300     N    0    0    0
    1:30.403    32545     N    0    0    0
    1:31.078    32788     N    0    0    0
    1:31.744    33028     N    0    0    0
    1:32.389    33260     N    0    0    0
    1:33.036    33493     N    0    0    0
    1:33.667    33720     N    0    0    0
    1:34.222    33920     N    0    0    0
    1:34.917    34170     N    0    0    0
    1:35.525    34389     N    0    0    0
    1:36.169    34621     N    0    0    0
    1:36.822    34856     N    0    0    0
    1:37.492    35097     N    0    0    0
    1:38.144    35332     N    0    0    0
    1:38.772    35558     N    0    0    0
    1:39.394    35782     N    0    0    0
    1:40.003    36001     N    0    0    0
    1:40.472    36170     A    0    0    0
    1:41.131    36407     N    0    0    0
    1:41.781    36641     N    0    0    0
    1:42.436    36877     N    0    0    0
    1:43.100    37116     N    0    0    0
    1:43.725    37341     N    0    0    0
    1:44.367    37572     N    0    0    0
    1:44.983    37794     N    0    0    0
    1:45.600    38016     N    0    0    0
    1:46.231    38243     N    0    0    0
    1:46.836    38461     N    0    0    0
    1:47.431    38675     N    0    0    0
    1:48.047    38897     N    0    0    0
    1:48.692    39129     N    0    0    0
    1:49.344    39364     N    0    0    0
    1:49.961    39586     N    0    0    0
    1:50.586    39811     N    0    0    0
    1:51.219    40039     N    0    0    0
    1:51.828    40258     N    0    0    0
    1:52.436    40477     N    0    0    0
    1:53.011    40684     N    0    0    0
    1:53.631    40907     N    0    0    0
    1:54.283    41142     N    0    0    0
    1:54.936    41377     N    0    0    0
    1:55.583    41610     N    0    0    0
    1:56.203    41833     N    0    0    0
    1:56.825    42057     N    0    0    0
    1:57.433    42276     N    0    0    0
    1:57.919    42451     A    0    0    0
    1:58.636    42709     N    0    0    0
    1:59.253    42931     N    0    0    0
    1:59.919    43171     N    0    0    0
    2:00.597    43415     N    0    0    0
    2:01.228    43642     N    0    0    0
    2:01.908    43887     N    0    0    0
    2:02.561    44122     N    0    0    0
    2:03.214    44357     N    0    0    0
    2:03.836    44581     N    0    0    0
    2:04.453    44803     N    0    0    0
    2:05.039    45014     N    0    0    0
    2:05.661    45238     N    0    0    0
    2:06.297    45467     N    0    0    0
    2:06.950    45702     N    0    0    0
    2:07.600    45936     N    0    0    0
    2:08.236    46165     N    0    0    0
    2:08.853    46387     N    0    0    0
    2:09.464    46607     N    0    0    0
    2:10.075    46827     N    0    0    0
    2:10.694    47050     N    0    0    0
    2:11.303    47269     N    0    0    0
    2:11.939    47498     N    0    0    0
    2:12.606    47738     N    0    0    0
    2:13.244    47968     N    0    0    0
    2:13.883    48198     N    0    0    0
    2:14.519    48427     N    0    0    0
    2:15.156    48656     N    0    0    0
    2:15.786    48883     N    0    0    0
    2:16.417    49110     N    0    0    0
    2:17.011    49324     N    0    0    0
    2:17.644    49552     N    0    0    0
    2:18.281    49781     N    0    0    0
    2:18.936    50017     N    0    0    0
    2:19.606    50258     N    0    0    0
    2:20.239    50486     N    0    0    0
    2:20.875    50715     N    0    0    0
    2:21.489    50936     N    0    0    0
    2:22.114    51161     N    0    0    0
    2:22.736    51385     N    0    0    0
    2:23.325    51597     N    0    0    0
    2:23.986    51835     N    0    0    0
    2:24.667    52080     N    0    0    0
    2:25.328    52318     N    0    0    0
    2:25.981    52553     N    0    0    0
    2:26.608    52779     N    0    0    0
    2:27.239    53006     N    0    0    0
    2:27.864    53231     N    0    0    0
    2:28.361    53410     A    0    0    0
    2:29.028    53650     N    0    0    0
    2:29.639    53870     N    0    0    0
    2:30.261    54094     N    0    0    0
    2:30.511    54184     |    1    0    0
    2:30.889    54320     N    0    0    0
    2:31.519    54547     N    0    0    0
    2:32.144    54772     N    0    0    0
    2:32.778    55000     N    0    0    0
    2:33.411    55228     N    0    0    0
    2:34.019    55447     N    0    0    0
    2:34.631    55667     N    0    0    0
    2:35.211    55876     N    0    0    0
    2:35.850    56106     N    0    0    0
