      Time   Sample #  Type  Sub Chan  Num	Aux
    0:00.100       36     +    0    0    0	(P
    0:00.203       73     /    0    0    0
    0:00.878      316     /    0    0    0
    0:01.708      615     /    0    0    0
    0:02.503      901     /    0    0    0
    0:03.300     1188     /    0    0    0
    0:04.103     1477     f    0    0    0
    0:04.858     1749     f    0    0    0
    0:05.728     2062     /    0    0    0
    0:06.558     2361     /    0    0    0
    0:07.364     2651     /    0    0    0
    0:08.172     2942     /    0    0    0
    0:08.978     3232     /    0    0    0
    0:09.783     3522     f    0    0    0
    0:10.544     3796     f    0    0    0
    0:11.394     4102     /    0    0    0
    0:12.242     4407     /    0    0    0
    0:13.067     4704     /    0    0    0
    0:13.875     4995     /    0    0    0
    0:14.669     5281     /    0    0    0
    0:15.469     5569     f    0    0    0
    0:16.314     5873     f    0    0    0
    0:17.064     6143     /    0    0    0
    0:17.919     6451     /    0    0    0
    0:18.733     6744     /    0    0    0
    0:19.561     7042     /    0    0    0
    0:20.367     7332     /    0    0    0
    0:20.989     7556     ~    3    0    0
    0:21.164     7619     f    0    0    0
    0:22.003     7921     f    0    0    0
    0:22.733     8184     /    0    0    0
    0:23.600     8496     /    0    0    0
    0:24.347     8765     ~    0    0    0
    0:24.428     8794     /    0    0    0
    0:25.244     9088     /    0    0    0
    0:26.050     9378     /    0    0    0
    0:26.883     9678     f    0    0    0
    0:27.642     9951     f    0    0    0
    0:28.422    10232     /    0    0    0
    0:29.258    10533     /    0    0    0
    0:30.108    10839     /    0    0    0
    0:30.931    11135     /    0    0    0
    0:31.761    11434     f    0    0    0
    0:32.569    11725     f    0    0    0
    0:33.444    12040     f    0    0    0
    0:34.131    12287     /    0    0    0
    0:34.931    12575     /    0    0    0
    0:35.792    12885     /    0    0    0
    0:36.625    13185     /    0    0    0
    0:37.442    13479     /    0    0    0
    0:38.286    13783     f    0    0    0
    0:39.053    14059     f    0    0    0
    0:39.831    14339     /    0    0    0
    0:40.603    14617     /    0    0    0
    0:41.472    14930     /    0    0    0
    0:42.314    15233     /    0    0    0
    0:43.125    15525     /    0    0    0
    0:43.933    15816     f    0    0    0
    0:44.772    16118     f    0    0    0
    0:45.528    16390     /    0    0    0
    0:46.308    16671     /    0    0    0
    0:47.131    16967     /    0    0    0
    0:47.983    17274     /    0    0    0
    0:48.808    17571     /    0    0    0
    0:49.636    17869     /    0    0    0
    0:50.475    18171     f    0    0    0
    0:51.233    18444     f    0    0    0
    0:52.011    18724     /    0    0    0
    0:52.800    19008     /    0    0    0
    0:53.661    19318     /    0    0    0
    0:54.489    19616     /    0    0    0
    0:55.306    19910     /    0    0    0
    0:56.081    20189     f    0    0    0
    0:56.922    20492     f    0    0    0
    0:57.789    20804     f    0    0    0
    0:58.489    21056     /    0    0    0
    0:59.339    21362     /    0    0    0
    1:00.189    21668     /    0    0    0
    1:00.997    21959     /    0    0    0
    1:01.414    22109     ~    3    0    0
    1:01.803    22249     /    0    0    0
    1:02.194    22390     +    0    0    0	(N
    1:02.589    22532     Q    0    0    0
    1:03.411    22828     Q    0    0    0
    1:04.169    23101     Q    0    0    0
    1:04.581    23249     +    0    0    0	(P
    1:04.994    23398     /    0    0    0
    1:05.836    23701     /    0    0    0
    1:06.361    23890     ~    0    0    0
    1:06.661    23998     /    0    0    0
    1:07.500    24300     /    0    0    0
    1:08.306    24590     /    0    0    0
    1:09.103    24877     f    0    0    0
    1:09.939    25178     f    0    0    0
    1:10.667    25440     /    0    0    0
    1:11.519    25747     /    0    0    0
    1:12.356    26048     /    0    0    0
    1:13.169    26341     /    0    0    0
    1:13.983    26634     /    0    0    0
    1:14.794    26926     /    0    0    0
    1:15.511    27184     N    0    0    0
    1:16.358    27489     f    0    0    0
    1:17.161    27778     f    0    0    0
    1:18.011    28084     /    0    0    0
    1:18.833    28380     /    0    0    0
    1:19.653    28675     /    0    0    0
    1:20.453    28963     /    0    0    0
    1:21.250    29250     /    0    0    0
    1:21.997    29519     f    0    0    0
    1:22.811    29812     f    0    0    0
    1:23.733    30144     f    0    0    0
    1:24.503    30421     f    0    0    0
    1:25.331    30719     /    0    0    0
    1:26.144    31012     /    0    0    0
    1:26.950    31302     /    0    0    0
    1:27.722    31580     /    0    0    0
    1:28.503    31861     /    0    0    0
    1:29.356    32168     /    0    0    0
    1:29.739    32306     +    0    0    0	(N
    1:30.125    32445     N    0    0    0
    1:30.928    32734     N    0    0    0
    1:31.831    33059     f    0    0    0
    1:32.589    33332     f    0    0    0
    1:32.986    33475     +    0    0    0	(P
    1:33.383    33618     /    0    0    0
    1:34.156    33896     /    0    0    0
    1:34.983    34194     /    0    0    0
    1:35.828    34498     /    0    0    0
    1:36.650    34794     /    0    0    0
    1:37.475    35091     /    0    0    0
    1:38.219    35359     N    0    0    0
    1:39.058    35661     f    0    0    0
    1:39.828    35938     f    0    0    0
    1:40.625    36225     /    0    0    0
    1:41.469    36529     /    0    0    0
    1:42.297    36827     /    0    0    0
    1:42.636    36949     ~    2    0    0
    1:43.119    37123     /    0    0    0
    1:43.936    37417     /    0    0    0
    1:44.747    37709     /    0    0    0
    1:45.492    37977     N    0    0    0
    1:46.328    38278     f    0    0    0
    1:47.150    38574     /    0    0    0
    1:47.978    38872     /    0    0    0
    1:48.792    39165     /    0    0    0
    1:49.617    39462     /    0    0    0
    1:50.428    39754     /    0    0    0
    1:51.219    40039     /    0    0    0
    1:51.950    40302     N    0    0    0
    1:52.797    40607     f    0    0    0
    1:53.639    40910     f    0    0    0
    1:54.136    41089     ~    3    0    0
    1:54.472    41210     /    0    0    0
    1:55.308    41511     /    0    0    0
    1:56.117    41802     /    0    0    0
    1:57.044    42136     /    0    0    0
    1:57.700    42372     /    0    0    0
    1:58.475    42651     /    0    0    0
    1:59.311    42952     f    0    0    0
    2:00.122    43244     N    0    0    0
    2:00.989    43556     f    0    0    0
    2:01.786    43843     f    0    0    0
    2:02.611    44140     /    0    0    0
    2:03.392    44421     /    0    0    0
    2:04.161    44698     /    0    0    0
    2:05.006    45002     /    0    0    0
    2:05.850    45306     /    0    0    0
    2:06.667    45600     /    0    0    0
    2:07.492    45897     /    0    0    0
    2:08.278    46180     f    0    0    0
    2:09.044    46456     N    0    0    0
    2:09.847    46745     f    0    0    0
    2:10.647    47033     f    0    0    0
    2:11.500    47340     /    0    0    0
    2:12.322    47636     /    0    0    0
    2:13.161    47938     /    0    0    0
    2:13.978    48232     /    0    0    0
    2:14.794    48526     /    0    0    0
    2:15.572    48806     /    0    0    0
    2:16.347    49085     /    0    0    0
    2:17.197    49391     /    0    0    0
    2:18.011    49684     f    0    0    0
    2:18.706    49934     N    0    0    0
    2:19.575    50247     f    0    0    0
    2:20.436    50557     f    0    0    0
    2:21.167    50820     f    0    0    0
    2:21.689    51008     ~    1    0    0
    2:21.936    51097     f    0    0    0
    2:22.761    51394     /    0    0    0
    2:23.603    51697     /    0    0    0
    2:24.428    51994     /    0    0    0
    2:25.264    52295     /    0    0    0
    2:25.822    52496     ~    3    0    0
    2:26.075    52587     /    0    0    0
    2:26.875    52875     /    0    0    0
    2:27.650    53154     /    0    0    0
    2:28.433    53436     /    0    0    0
    2:29.275    53739     /    0    0    0
    2:30.097    54035     /    0    0    0
    2:30.458    54165     +    0    0    0	(N
    2:30.819    54295     N    0    0    0
    2:31.622    54584     N    0    0    0
    2:32.442    54879     N    0    0    0
    2:33.258    55173     f    0    0    0
    2:34.067    55464     f    0    0    0
    2:34.933    55776     f    0    0    0
    2:35.694    56050     f    0    0    0
    2:36.108    56199     +    0    0    0	(P
    2:36.522    56348     /    0    0    0
    2:37.344    56644     /    0    0    0
    2:37.778    56800     ~    1    0    0
    2:38.161    56938     /    0    0    0
    2:38.961    57226     /    0    0    0
    2:39.733    57504     /    0    0    0
    2:40.531    57791     /    0    0    0
    2:41.372    58094     /    0    0    0
    2:42.197    58391     /    0    0    0
    2:42.583    58530     +    0    0    0	(N
    2:42.969    58669     N    0    0    0
    2:43.753    58951     N    0    0    0
    2:44.625    59265     f    0    0    0
    2:45.378    59536     f    0    0    0
    2:45.744    59668     ~    0    0    0
    2:45.767    59676     +    0    0    0	(P
    2:46.156    59816     /    0    0    0
    2:47.006    60122     /    0    0    0
    2:47.836    60421     /    0    0    0
    2:48.353    60607     ~    2    0    0
    2:48.644    60712     /    0    0    0
    2:49.069    60865     ~    3    0    0
    2:49.475    61011     /    0    0    0
